id	time	电需求	热需求	泛能机产电量	泛能机产热量	泛能机消耗燃气量	补燃锅炉产热量	补燃锅炉消耗燃气量	泛能机电效率	泛能机热效率	补燃锅炉热效率	市电	市热	光伏消耗	光伏存储	光伏产电量	光热消耗	光热存储	光热产热量	储电量	储热量
1	01/01 00	0.07 	29.44 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	29.44 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
2	01/01 01	0.07 	34.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	34.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
3	01/01 02	0.07 	34.64 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	34.64 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
4	01/01 03	0.07 	35.07 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.07 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
5	01/01 04	0.07 	35.79 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.79 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
6	01/01 05	1.20 	37.60 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	31.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.04 
7	01/01 06	1.83 	38.21 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.00 	32.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.07 
8	01/01 07	1.20 	39.64 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.20 	32.90 	0.11 	0.00 	0.11 	0.55 	0	0.55 	0.09 	0.02 
9	01/01 08	0.37 	38.08 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.11 	37.15 	0.18 	0.00 	0.18 	0.90 	0	0.90 	0.00 	0.00 
10	01/01 09	0.53 	35.97 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.04 	33.51 	0.49 	0.00 	0.49 	2.46 	0	2.46 	0.00 	0.00 
11	01/01 10	0.53 	23.06 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	17.96 	0.53 	0.49 	1.02 	5.10 	0	5.10 	0.48 	0.00 
12	01/01 11	0.84 	12.50 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	9.15 	0.67 	0.00 	0.67 	3.35 	0	3.35 	0.30 	0.00 
13	01/01 12	0.84 	8.25 	0.26 	3.60 	0.29 	0	0	0.08 	1.19 	0	0.00 	2.90 	0.37 	0.00 	0.37 	1.83 	0	1.83 	0.08 	0.08 
14	01/01 13	0.84 	7.72 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	1.40 	0.29 	0.00 	0.29 	1.45 	0	1.45 	0.10 	0.00 
15	01/01 14	0.84 	7.87 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	2.20 	0.18 	0.00 	0.18 	0.91 	0	0.91 	0.02 	0.04 
16	01/01 15	0.84 	7.89 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.20 	2.60 	0.11 	0.00 	0.11 	0.55 	0	0.55 	0.06 	0.09 
17	01/01 16	1.40 	8.01 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	1.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.06 	0.02 
18	01/01 17	2.10 	9.28 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	3.20 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.09 
19	01/01 18	3.27 	12.61 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	6.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.01 
